,Unnamed: 0,NODE,FIRSTEVENTSUMMARY,CLASS,Action Taken
0,0,augsburg,User patrol is unable to read the log file ...moMsisdnReuse.log. Pass to Application support: ECOMMERCE,E-Commerce.BMC (10005),Raise P4 case to Integrate L2 queue
1,1,kassel,User patrol is unable to read the log file ...moMsisdnReuse.log. Pass to Application support: ECOMMERCE,E-Commerce.BMC (10005),Raise P4 case to Integrate L2 queue
2,2,mlw-3par9450-01,Host Port 2:6:3 experienced over 50 CRC errors (70) in 24 hours.,n/a (7019),Raise P4 case and drop mail to storage team
3,3,cnmlw-esxvm-097,The available memory for this partition has exceeded its threshold.,FDH.BMC (12163),Raise P4 case if alert  comes with count 1. More than count 1 no need to raise case
4,4,mnmlw-astro-uk-sql-01,The available memory for this partition has exceeded its threshold.,ASTRO.BMC (12074),Raise P4 case if alert  comes with count 1. More than count 1 no need to raise case
5,5,ukbasapp014,The signing validation failed.  Error:The cryptographic signature is invalid.  Server name: /MLW-FAS3070-01 Session ID:0x1BC0C9 Tree ID:0x0 Message ID:0x107 Command: Logoff  Guidance: This error indicates that SMB messages are being modified in transit across the network from the server to the client. This may be due to the session ending on the server a problem with the network a problem with a third-party SMB server or a man-in-the-middle compromise attempt.,NETBACKUP.BMC (12093),Raise P4 case to Wintel Server support
6,6,,There has been 4 events triggered on the NT_EV_MICROSOFT-WINDOWS-PUSHNOTIFICATION-PLATFORM_OPERATIONAL_SUMMARY log on server ukbasapp014.,NETBACKUP.BMC (12093),Raise P4 case to Wintel Server support
7,7,cnbas-ldom-135,Server has a large number of orphaned or zombie processes,MARS_ORACLE (13115),Raise P4 case to Server Team(OS Team)
8,8,cnbas-ldom-308,Server has a large number of orphaned or zombie processes,FILENET.BMC (12013),Raise P4 case to Server Team(OS Team)
9,9,dmbas-esxvm-222,Server has a large number of orphaned or zombie processes,PredictiveInsight.BMC (12172),Raise P4 case to Server Team(OS Team)
10,10,dmbas-t82-01,Server has a large number of orphaned or zombie processes,ITI-Obsolescence.BMC (13110),Raise P4 case to Server Team(OS Team)
11,11,dmbas-t82-02,Server has a large number of orphaned or zombie processes,ITI-Obsolescence.BMC (13110),Raise P4 case to Server Team(OS Team)
12,12,dmbas-t82-04,Server has a large number of orphaned or zombie processes,ITI-Obsolescence.BMC (13110),Raise P4 case to Server Team(OS Team)
13,13,dmmlw-dl380g10-03,Server has a large number of orphaned or zombie processes,BI-Evolve.NMC (13120),Raise P4 case to Server Team(OS Team)
14,14,dmmlw-dl380g10-04,Server has a large number of orphaned or zombie processes,BI-Evolve.NMC (13120),Raise P4 case to Server Team(OS Team)
15,15,dmmlw-dl380g10-05,Cleared - Server has a large number of orphaned or zombie processes,BI-Evolve.NMC (13120),Raise P4 case to Server Team(OS Team)
16,16,,Server has a large number of orphaned or zombie processes,BI-Evolve.NMC (13120),Raise P4 case to Server Team(OS Team)
17,17,dmmlw-dl380g10-06,Cleared - Server has a large number of orphaned or zombie processes,BI-Evolve.NMC (13120),Raise P4 case to Server Team(OS Team)
18,18,,Server has a large number of orphaned or zombie processes,BI-Evolve.NMC (13120),Raise P4 case to Server Team(OS Team)
19,19,dmmlw-dl380g9-06,Cleared - Server has a large number of orphaned or zombie processes,FDH.BMC (12163),Raise P4 case to Server Team(OS Team)
20,20,,Server has a large number of orphaned or zombie processes,FDH.BMC (12163),Raise P4 case to Server Team(OS Team)
21,21,dmmlw-esxvm-338,Server has a large number of orphaned or zombie processes,PredictiveInsight.BMC (12172),Raise P4 case to Server Team(OS Team)
22,22,dmmlw-esxvm-387,Server has a large number of orphaned or zombie processes,BI-Evolve.NMC (13120),Raise P4 case to Server Team(OS Team)
23,23,dmmlw-t82-01,Server has a large number of orphaned or zombie processes,ITI-Obsolescence.BMC (13110),Raise P4 case to Server Team(OS Team)
24,24,dmmlw-t82-03,Server has a large number of orphaned or zombie processes,ITI-Obsolescence.BMC (13110),Raise P4 case to Server Team(OS Team)
25,25,dmmlw-t82-04,Server has a large number of orphaned or zombie processes,ITI-Obsolescence.BMC (13110),Raise P4 case to Server Team(OS Team)
26,26,dmmlw-t82-05,Server has a large number of orphaned or zombie processes,ITI-Obsolescence.BMC (13110),Raise P4 case to Server Team(OS Team)
27,27,dmmlw-t82-07,Server has a large number of orphaned or zombie processes,ITI-Obsolescence.BMC (13110),Raise P4 case to Server Team(OS Team)
28,28,mnbas-r730-47,Server has a large number of orphaned or zombie processes,SMIP_CCDB_CHDB.BMC (12087),Raise P4 case to Server Team(OS Team)
29,29,mnhlw-dl380g8-03,Server has a large number of orphaned or zombie processes,EOTS.BMC (12035),Raise P4 case to Server Team(OS Team)
30,30,mnmlw-esxvm-090,Server has a large number of orphaned or zombie processes,SMIP_ETL (12098),Raise P4 case to Server Team(OS Team)
31,31,rimmer-ipmp.london.02.net,Server has a large number of orphaned or zombie processes,BMC (7503),Raise P4 case to Server Team(OS Team)
32,32,dpexd-dl380g8-06,Cleared - Process EOTS~database has the correct number of instances running.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
33,33,,Cleared - Process EOTS~httpd has the correct number of instances running.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
34,34,,Cleared - Process EOTS~licenseserver has the correct number of instances running.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
35,35,,Cleared - Process EOTS~rollLog has the correct number of instances running.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
36,36,,Cleared on Restart - HW ERROR: parameter Present for a Network Interface (). Pass to Platform Support.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
37,37,,Entuity Server Explicit Shutdown Initiated,EOTS (20000),Raise case from Netcool and drop mail to EOTS team
38,38,,HW ERROR: parameter Present for a Network Interface (eth4). Pass to Platform Support.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
39,39,,Lost connectivity between Entuity server and node dpexd-dl380g8-06,EOTS.O2Broadband (24001),Raise case from Netcool and drop mail to EOTS team
40,40,,Process EOTS~database is CPU bound. System response time may be degraded.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
41,41,,Process EOTS~eventEngine is CPU bound. System response time may be degraded.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
42,42,,Process EOTS~httpd is CPU bound. System response time may be degraded.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
43,43,,Process Entuityjavaserver is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
44,44,,Process applicationmonitor is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
45,45,,Process database is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
46,46,,Process diskmonitor is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
47,47,,Process dnsproxy is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
48,48,,Process dskernel is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
49,49,,Process eventEngine is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
50,50,,Process eyepoller is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
51,51,,Process flowCollector is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
52,52,,Process flowserver is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
53,53,,Process httpd is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
54,54,,Process licenseserver is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
55,55,,Process macScheduler is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
56,56,,Process prologV2 is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
57,57,,Process provost is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
58,58,,Process rollLog is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
59,59,,Process scheduler is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
60,60,,Process search is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
61,61,,Process syslogger is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
62,62,,Process ticker is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
63,63,,Process tomcat is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
64,64,,Process viewserver is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
65,65,,Process virtualization is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
66,66,,The number of EOTS~database instances is outside the defined operating range,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
67,67,,The number of EOTS~httpd instances is outside the defined operating range,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
68,68,,The number of EOTS~licenseserver instances is outside the defined operating range,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
69,69,,The number of EOTS~rollLog instances is outside the defined operating range,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
70,70,,The server dpexd-dl380g8-06 has rebooted. If unplanned contact support team.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
71,71,,User patrol is unable to read the log file .../macScheduler.log. Pass to Application support: EOTS,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
72,72,,User patrol is unable to read the log file .../mysqld.error.log. Pass to Application support: EOTS,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
73,73,,User patrol is unable to read the log file ...JNIGenericRPC.log. Pass to Application support: EOTS,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
74,74,,User patrol is unable to read the log file ...cationMonitor.log. Pass to Application support: EOTS,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
75,75,,User patrol is unable to read the log file ...g/eventEngine.log. Pass to Application support: EOTS,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
76,76,,User patrol is unable to read the log file ...g/tomcatWebUI.log. Pass to Application support: EOTS,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
77,77,,User patrol is unable to read the log file ...irtualization.log. Pass to Application support: EOTS,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
78,78,,User patrol is unable to read the log file ...log/EventsJni.log. Pass to Application support: EOTS,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
79,79,,User patrol is unable to read the log file ...log/eyepoller.log. Pass to Application support: EOTS,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
80,80,,User patrol is unable to read the log file ...log/syslogger.log. Pass to Application support: EOTS,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
81,81,,User patrol is unable to read the log file ...log/tomcatAll.log. Pass to Application support: EOTS,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
82,82,,User patrol is unable to read the log file ...og/viewserver.log. Pass to Application support: EOTS,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
83,83,,User patrol is unable to read the log file ...sKernelStatic.log. Pass to Application support: EOTS,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
84,84,,User patrol is unable to read the log file ...systemcontrol.log. Pass to Application support: EOTS,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
85,85,,rebooted,ServiceWatcher (7521),Raise case from Netcool and drop mail to EOTS team
86,86,dpexd-dl380g8-07,Cleared - Process database is now running again.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
87,87,,Cleared on Restart - HW ERROR: parameter Present for a Network Interface (). Pass to Platform Support.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
88,88,,Entuity Server Explicit Shutdown Initiated,EOTS (20000),Raise case from Netcool and drop mail to EOTS team
89,89,,License warning: 33 credits left for Devices,EOTS (20000),Raise case from Netcool and drop mail to EOTS team
90,90,,License warning: 39 credits left for Devices,EOTS (20000),Raise case from Netcool and drop mail to EOTS team
91,91,,Process EOTS~database is CPU bound. System response time may be degraded.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
92,92,,Process EOTS~database is using excessive CPU(92.30%). Process may be looping.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
93,93,,Process EOTS~database is using excessive CPU(92.60%). Process may be looping.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
94,94,,Process EOTS~database is using excessive CPU(94.30%). Process may be looping.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
95,95,,Process EOTS~database is using excessive CPU(94.70%). Process may be looping.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
96,96,,Process EOTS~database is using excessive CPU(96%). Process may be looping.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
97,97,,Process EOTS~dskernel is CPU bound. System response time may be degraded.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
98,98,,Process EOTS~eventEngine is CPU bound. System response time may be degraded.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
99,99,,Process EOTS~httpd is CPU bound. System response time may be degraded.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
100,100,,Process Entuityjavaserver is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
101,101,,Process OS~logd is CPU bound. System response time may be degraded.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
102,102,,Process applicationmonitor is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
103,103,,Process database is down.,EOTS.BMC (12035),Raise case from Netcool and drop mail to EOTS team
